phv_id	PhenX_id	CDE_primary_name
phv00006510.v1.p9		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00006918.v1.p9		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00007355.v1.p9		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00020920.v4.p9		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00072084.v4.p9		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00078001.v4.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00078002.v4.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00078141.v4.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00078142.v4.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00078282.v4.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00078283.v4.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00111560.v3.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00111561.v3.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00169412.v2.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00169413.v2.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00169548.v2.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv00169550.v2.p3		Have you used evista - raloxifene or nolvadex - tamoxifen
phv_id	PhenX_id	CDE_primary_name
phv00006649.v1.p9		Have you ever had pneumonia, include bronchopneumonia
phv00021300.v4.p9		Have you ever had pneumonia, include bronchopneumonia
phv00159722.v3.p2		Have you ever had pneumonia, include bronchopneumonia
phv00083539.v1.p3		Have you ever had pneumonia, include bronchopneumonia
phv00083774.v2.p3		Have you ever had pneumonia, include bronchopneumonia
phv00087765.v1.p3		Have you ever had pneumonia, include bronchopneumonia
phv00123526.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00113370.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00118528.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00119895.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00099077.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00101526.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00102674.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00104139.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00106012.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00107085.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00107944.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00108618.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00109385.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00110047.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00154673.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00154719.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00154765.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00154811.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00154857.v2.p2		Have you ever had pneumonia, include bronchopneumonia
phv00160112.v1.p1		Have you ever had pneumonia, include bronchopneumonia
phv00169185.v4.p1		Have you ever had pneumonia, include bronchopneumonia
phv00169186.v4.p1		Have you ever had pneumonia, include bronchopneumonia
phv_id	PhenX_id	CDE_primary_name
phv00163305.v1.p1		At the present time, how is your eyesight, using both eyes with glasses or contact lenses, if you wear them
phv_id	PhenX_id	CDE_primary_name
phv00070410.v1.p9		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00159655.v3.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00209681.v1.p1		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00209762.v1.p1		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00113336.v2.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00128333.v1.p1		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00099099.v1.p1		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00106034.v1.p1		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00107824.v1.p1		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00154644.v2.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00154690.v2.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00154736.v2.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00154782.v2.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv00154828.v2.p2		Do you usually cough as much as 4 to 6 times a D, 4 or more D out of the W
phv_id	PhenX_id	CDE_primary_name
phv00120051.v2.p2		What is your best estimate of the number of D you smoked part or all of a cigarette during the past 30D
phv_id	PhenX_id	CDE_primary_name
phv00000084.v2.p1		Intravascular systolic
phv00000085.v2.p1		Intravascular systolic
phv00000086.v2.p1		Intravascular systolic
phv00000087.v2.p1		Intravascular systolic
phv00000088.v2.p1		Intravascular systolic
phv00000089.v2.p1		Intravascular systolic
phv00000090.v2.p1		Intravascular systolic
phv00000091.v2.p1		Intravascular systolic
phv00000092.v2.p1		Intravascular systolic
phv00000093.v2.p1		Intravascular systolic
phv00000094.v2.p1		Intravascular systolic
phv00000095.v2.p1		Intravascular systolic
phv00053859.v2.p1		Intravascular systolic
phv00053986.v2.p1		Intravascular systolic
phv00000528.v1.p9		Intravascular systolic
phv00000530.v1.p9		Intravascular systolic
phv00000620.v1.p9		Intravascular systolic
phv00000622.v1.p9		Intravascular systolic
phv00000640.v1.p9		Intravascular systolic
phv00000642.v1.p9		Intravascular systolic
phv00000644.v1.p9		Intravascular systolic
phv00000719.v1.p9		Intravascular systolic
phv00000757.v1.p9		Intravascular systolic
phv00000759.v1.p9		Intravascular systolic
phv00000833.v1.p9		Intravascular systolic
phv00000835.v1.p9		Intravascular systolic
phv00000918.v1.p9		Intravascular systolic
phv00000920.v1.p9		Intravascular systolic
phv00001041.v1.p9		Intravascular systolic
phv00001043.v1.p9		Intravascular systolic
phv00001195.v1.p9		Intravascular systolic
phv00001197.v1.p9		Intravascular systolic
phv00001370.v1.p9		Intravascular systolic
phv00001372.v1.p9		Intravascular systolic
phv00001567.v1.p9		Intravascular systolic
phv00001569.v1.p9		Intravascular systolic
phv00001809.v1.p9		Intravascular systolic
phv00001811.v1.p9		Intravascular systolic
phv00002024.v1.p9		Intravascular systolic
phv00002026.v1.p9		Intravascular systolic
phv00002208.v1.p9		Intravascular systolic
phv00002210.v1.p9		Intravascular systolic
phv00002429.v1.p9		Intravascular systolic
phv00002431.v1.p9		Intravascular systolic
phv00002673.v1.p9		Intravascular systolic
phv00002675.v1.p9		Intravascular systolic
phv00002947.v1.p9		Intravascular systolic
phv00003246.v1.p9		Intravascular systolic
phv00003306.v1.p9		Intravascular systolic
phv00003316.v1.p9		Intravascular systolic
phv00003675.v1.p9		Intravascular systolic
phv00003688.v1.p9		Intravascular systolic
phv00004091.v1.p9		Intravascular systolic
phv00004533.v1.p9		Intravascular systolic
phv00004546.v1.p9		Intravascular systolic
phv00005138.v1.p9		Intravascular systolic
phv00005548.v1.p9		Intravascular systolic
phv00005766.v1.p9		Intravascular systolic
phv00005934.v1.p9		Intravascular systolic
phv00006041.v1.p9		Intravascular systolic
phv00006512.v1.p9		Intravascular systolic
phv00006680.v1.p9		Intravascular systolic
phv00006921.v1.p9		Intravascular systolic
phv00007572.v5.p9		Intravascular systolic
phv00007574.v5.p9		Intravascular systolic
phv00007683.v5.p9		Intravascular systolic
phv00007685.v5.p9		Intravascular systolic
phv00008539.v5.p9		Intravascular systolic
phv00008711.v5.p9		Intravascular systolic
phv00008756.v5.p9		Intravascular systolic
phv00008770.v5.p9		Intravascular systolic
phv00009395.v5.p9		Intravascular systolic
phv00009558.v5.p9		Intravascular systolic
phv00009905.v5.p9		Intravascular systolic
phv00010122.v5.p9		Intravascular systolic
phv00010360.v5.p9		Intravascular systolic
phv00010507.v5.p9		Intravascular systolic
phv00021092.v4.p9		Intravascular systolic
phv00021239.v4.p9		Intravascular systolic
phv00024456.v5.p9		Intravascular systolic
phv00024891.v1.p9		Intravascular systolic
phv00055256.v5.p9		Intravascular systolic
phv00055285.v5.p9		Intravascular systolic
phv00056853.v2.p9		Intravascular systolic
phv00056863.v2.p9		Intravascular systolic
phv00070375.v1.p9		Intravascular systolic
phv00070557.v1.p9		Intravascular systolic
phv00072138.v4.p9		Intravascular systolic
phv00072661.v4.p9		Intravascular systolic
phv00177352.v1.p9		Intravascular systolic
phv00019997.v1.p1		Intravascular systolic
phv00025677.v1.p1		Intravascular systolic
phv00026020.v1.p1		Intravascular systolic
phv00027105.v1.p1		Intravascular systolic
phv00027425.v1.p1		Intravascular systolic
phv00027441.v1.p1		Intravascular systolic
phv00027457.v1.p1		Intravascular systolic
phv00027473.v1.p1		Intravascular systolic
phv00027489.v1.p1		Intravascular systolic
phv00027505.v1.p1		Intravascular systolic
phv00027521.v1.p1		Intravascular systolic
phv00027537.v1.p1		Intravascular systolic
phv00027553.v1.p1		Intravascular systolic
phv00027569.v1.p1		Intravascular systolic
phv00028933.v1.p1		Intravascular systolic
phv00029731.v1.p1		Intravascular systolic
phv00030224.v1.p1		Intravascular systolic
phv00030225.v1.p1		Intravascular systolic
phv00030226.v1.p1		Intravascular systolic
phv00030227.v1.p1		Intravascular systolic
