phv_id	PhenX_id	CDE_primary_name
phv00030231.v1.p1	PX090601030000	Intravascular systolic
phv00030232.v1.p1	PX090601030000	Intravascular systolic
phv00030233.v1.p1	PX090601030000	Intravascular systolic
phv00030692.v1.p1	PX090601030000	Intravascular systolic
phv00030766.v1.p1	PX090601030000	Intravascular systolic
phv00031234.v1.p1	PX090601030000	Intravascular systolic
phv00033542.v1.p1	PX090601030000	Intravascular systolic
phv00034133.v1.p1	PX090601030000	Intravascular systolic
phv00034520.v1.p1	PX090601030000	Intravascular systolic
phv00048941.v1.p1	PX090601030000	Intravascular systolic
phv00049359.v1.p1	PX090601030000	Intravascular systolic
phv00065900.v1.p1	PX090601030000	Intravascular systolic
phv00020826.v1.p1	PX090601030000	Intravascular systolic
phv00159289.v1.p1	PX090601030000	Intravascular systolic
phv00051711.v1.p3	PX090601030000	Intravascular systolic
phv00051712.v1.p3	PX090601030000	Intravascular systolic
phv00051713.v1.p3	PX090601030000	Intravascular systolic
phv00051714.v1.p3	PX090601030000	Intravascular systolic
phv00051779.v1.p3	PX090601030000	Intravascular systolic
phv00051780.v1.p3	PX090601030000	Intravascular systolic
phv00051781.v1.p3	PX090601030000	Intravascular systolic
phv00051782.v1.p3	PX090601030000	Intravascular systolic
phv00051841.v2.p3	PX090601030000	Intravascular systolic
phv00066515.v1.p1	PX090601030000	Intravascular systolic
phv00073443.v1.p1	PX090601030000	Intravascular systolic
phv00159590.v3.p2	PX090601030000	Intravascular systolic
phv00076292.v1.p1	PX090601030000	Intravascular systolic
phv00079854.v4.p3	PX090601030000	Intravascular systolic
phv00079863.v4.p3	PX090601030000	Intravascular systolic
phv00079864.v4.p3	PX090601030000	Intravascular systolic
phv00083399.v1.p3	PX090601030000	Intravascular systolic
phv00083410.v1.p3	PX090601030000	Intravascular systolic
phv00085732.v2.p3	PX090601030000	Intravascular systolic
phv00085740.v2.p3	PX090601030000	Intravascular systolic
phv00086224.v2.p3	PX090601030000	Intravascular systolic
phv00086232.v2.p3	PX090601030000	Intravascular systolic
phv00086707.v2.p3	PX090601030000	Intravascular systolic
phv00086715.v2.p3	PX090601030000	Intravascular systolic
phv00087029.v2.p3	PX090601030000	Intravascular systolic
phv00087037.v2.p3	PX090601030000	Intravascular systolic
